occupation,bias_label,target_gender,complexity,position,system,system_type,correct
Carpenters,M,m,smp,ante,Google,NMT,1
Carpenters,M,m,smp,ante,DeepL,NMT,1
Carpenters,M,m,smp,ante,GPT5,LLM,1
Carpenters,M,m,smp,ante,Claude,LLM,1
Carpenters,M,m,smp,ante,Ministral,LLM,1
Carpenters,M,m,smp,ante,Qwen,LLM,1
Carpenters,M,m,smp,ante,LLaMA,LLM,1
Carpenters,M,m,smp,ante,DeepSeek,LLM,1
Carpenters,M,f,smp,ante,Google,NMT,1
Carpenters,M,f,smp,ante,DeepL,NMT,1
Carpenters,M,f,smp,ante,GPT5,LLM,1
Carpenters,M,f,smp,ante,Claude,LLM,1
Carpenters,M,f,smp,ante,Ministral,LLM,0
Carpenters,M,f,smp,ante,Qwen,LLM,1
Carpenters,M,f,smp,ante,LLaMA,LLM,1
Carpenters,M,f,smp,ante,DeepSeek,LLM,0
Carpenters,M,m,cpx,ante,Google,NMT,1
Carpenters,M,m,cpx,ante,DeepL,NMT,1
Carpenters,M,m,cpx,ante,GPT5,LLM,1
Carpenters,M,m,cpx,ante,Claude,LLM,1
Carpenters,M,m,cpx,ante,Ministral,LLM,1
Carpenters,M,m,cpx,ante,Qwen,LLM,1
Carpenters,M,m,cpx,ante,LLaMA,LLM,1
Carpenters,M,m,cpx,ante,DeepSeek,LLM,1
Carpenters,M,f,cpx,ante,Google,NMT,0
Carpenters,M,f,cpx,ante,DeepL,NMT,0
Carpenters,M,f,cpx,ante,GPT5,LLM,1
Carpenters,M,f,cpx,ante,Claude,LLM,1
Carpenters,M,f,cpx,ante,Ministral,LLM,1
Carpenters,M,f,cpx,ante,Qwen,LLM,1
Carpenters,M,f,cpx,ante,LLaMA,LLM,0
Carpenters,M,f,cpx,ante,DeepSeek,LLM,1
Carpenters,M,m,smp,post,Google,NMT,1
Carpenters,M,m,smp,post,DeepL,NMT,1
Carpenters,M,m,smp,post,GPT5,LLM,1
Carpenters,M,m,smp,post,Claude,LLM,1
Carpenters,M,m,smp,post,Ministral,LLM,1
