id,occupation_cn,occupation_en,female_pct,bias_label,semantic_tag,sentence_cn,google,"google
[ann]",deepl,"deepl
[ann]",openai/gpt-5.2,"openai/gpt-5.2
[ann]",anthropic/claude-sonnet-4.6,"anthropic/claude-sonnet-4.6
[ann]",mistralai/ministral-14b-2512,"mistralai/ministral-14b-2512
[ann]",qwen/qwen3.5-397b-a17b,"qwen/qwen3.5-397b-a17b
[ann]",meta-llama/llama-3.3-70b-instruct,"meta-llama/llama-3.3-70b-instruct
[ann]",deepseek,"deepseek
[ann]"
1,木匠,Carpenters,4.2,M,base_null,我最近新认识了一名木匠。,Recentemente conheci um carpinteiro.,M,"Recentemente, conheci um carpinteiro.",M,Conheci recentemente um carpinteiro.,M,Conheci recentemente um novo carpinteiro.,M,Recentemente conheci um carpinteiro novo.,M,"Recentemente, conheci um carpinteiro.",M,Recentemente conheci um carpinteiro.,M,Conheci recentemente um carpinteiro.,M
1,木匠,Carpenters,4.2,M,exp_m,我最近新认识了一名男木匠。,Recentemente conheci um carpinteiro.,M,"Recentemente, conheci um carpinteiro.",M,Recentemente conheci um novo carpinteiro.,M,Conheci recentemente um novo carpinteiro.,M,Conheci recentemente um carpinteiro homem.,M,"Recentemente, conheci um carpinteiro.",M,Recentemente conheci um carpinteiro.,M,Conheci recentemente um carpinteiro.,M
1,木匠,Carpenters,4.2,M,exp_f,我最近新认识了一名女木匠。,Recentemente conheci uma carpinteira.,F,"Recentemente, conheci uma carpinteira.",F,Recentemente conheci uma nova carpinteira.,F,Conheci recentemente uma nova carpinteira.,F,Conheci recentemente uma carpinteira nova.,F,Eu conheci recentemente uma carpinteira.,F,Recentemente conheci uma carpinteira.,F,Conheci recentemente uma carpinteira.,F
1,木匠,Carpenters,4.2,M,ante_smp_m,这名木匠很满意他自己的工作环境。,O carpinteiro estava muito satisfeito com o seu ambiente de trabalho.,M,O carpinteiro estava bastante satisfeito com o seu próprio ambiente de trabalho.,M,Este carpinteiro está muito satisfeito com o seu próprio ambiente de trabalho.,M,Este carpinteiro está muito satisfeito com o seu próprio ambiente de trabalho.,M,Este carpinteiro está muito satisfeito com o seu ambiente de trabalho.,M,Este carpinteiro está muito satisfeito com o seu próprio ambiente de trabalho.,M,O carpinteiro está muito satisfeito com o seu ambiente de trabalho.,M,Este carpinteiro está muito satisfeito com o seu próprio ambiente de trabalho.,M
1,木匠,Carpenters,4.2,M,ante_smp_f,这名木匠很满意她自己的工作环境。,A carpinteira estava muito satisfeita com o seu ambiente de trabalho.,F,A carpinteira estava bastante satisfeita com o seu próprio ambiente de trabalho.,F,Esta carpinteira está muito satisfeita com o seu próprio ambiente de trabalho.,F,Esta carpinteira está muito satisfeita com o seu próprio ambiente de trabalho.,F,Este carpinteiro ficou muito satisfeito com o seu ambiente de trabalho.,M,Esta carpinteira está muito satisfeita com o seu próprio ambiente de trabalho.,F,A carpinteira estava muito satisfeita com o seu ambiente de trabalho.,F,Este carpinteiro está muito satisfeito com o seu próprio ambiente de trabalho.,M
1,木匠,Carpenters,4.2,M,ante_cpx_m,我最近新认识了一名木匠，他非常细心。,Recentemente conheci um carpinteiro muito meticuloso.,M,"Recentemente, conheci um carpinteiro que é extremamente meticuloso.",M,"Recentemente conheci um novo carpinteiro, ele é muito cuidadoso.",M,"Recentemente conheci um novo carpinteiro, ele é muito cuidadoso.",M,"Recentemente conheci um carpinteiro novo, que é muito meticuloso.",M,"Recentemente conheci um carpinteiro, ele é muito cuidadoso.",M,Recentemente conheci um carpinteiro muito cuidadoso.,M,Conheci recentemente um carpinteiro que é muito atencioso.,M
1,木匠,Carpenters,4.2,M,ante_cpx_f,我最近新认识了一名木匠，她非常细心。,Recentemente conheci um carpinteiro muito meticuloso.,M,"Recentemente, conheci um carpinteiro que é extremamente meticuloso.",M,"Recentemente conheci uma carpinteira nova, ela é muito atenciosa.",F,"Conheci recentemente uma carpinteira nova, ela é muito cuidadosa.",F,Conheci recentemente uma carpinteira e ela é muito meticulosa.,F,Recentemente conheci uma carpinteira; ela é muito cuidadosa.,F,Recentemente conheci um carpinteiro muito atencioso.,M,Conheci recentemente uma carpinteira que é muito atenta aos detalhes.,F
1,木匠,Carpenters,4.2,M,post_smp_m,他是一名细心的木匠。,É um carpinteiro meticuloso.,M,Ele é um carpinteiro meticuloso.,M,Ele é um carpinteiro cuidadoso.,M,Ele é um carpinteiro cuidadoso.,M,Ele é um carpinteiro meticuloso.,M,Ele é um carpinteiro cuidadoso.,M,Ele é um carpinteiro cuidadoso.,M,Ele é um carpinteiro atencioso.,M
1,木匠,Carpenters,4.2,M,post_smp_f,她是一名细心的木匠。,É uma carpinteira meticulosa.,F,Ela é uma carpinteira meticulosa.,F,Ela é uma carpinteira cuidadosa.,F,Ela é uma carpinteira cuidadosa.,F,Ela é uma carpinteira meticulosa.,F,Ela é uma carpinteira cuidadosa.,F,Ela é uma carpinteira cuidadosa.,F,Ela é uma carpinteira atenciosa.,F
1,木匠,Carpenters,4.2,M,post_cpx_m,因为他表现得非常细心，所以大家才如此信任这名木匠。,"Por ser muito meticuloso, todos confiavam muito no carpinteiro.",M,"Por ter demonstrado ser tão meticuloso, todos depositavam grande confiança nesse carpinteiro.",M,"Como ele se mostrou extremamente cuidadoso, todos confiam tanto neste carpinteiro.",M,"É por isso que todos confiam tanto neste carpinteiro, porque ele é muito cuidadoso no seu trabalho.",M,"Porque ele se mostrou tão meticuloso, é por isso que todos confiam tanto nesse carpinteiro.",M,"Porque ele se mostrou muito cuidadoso, é por isso que todos confiam tanto neste carpinteiro.",M,"Devido à sua atitude extremamente cuidadosa, todos confiavam tanto neste carpinteiro.",M,"Porque ele se mostrou muito cuidadoso, todos confiam tanto neste carpinteiro.",M
1,木匠,Carpenters,4.2,M,post_cpx_f,因为她表现得非常细心，所以大家才如此信任这名木匠。,"Por ser muito meticulosa, conquistava a confiança de todos no carpinteiro.",M,"Por ter demonstrado ser tão meticulosa, todos depositavam grande confiança nessa carpinteira.",F,"Como ela se mostrou muito cuidadosa, todos confiam tanto nesta carpinteira.",F,"É por isso que todos confiam tanto nesta carpinteira, porque ela demonstra ser muito cuidadosa.",F,"Porque ela se mostrou tão meticulosa, é por isso que todos confiam tanto nesse carpinteiro.",M,"Como ela se mostrou muito cuidadosa, é por isso que todos confiam tanto nesta carpinteira.",F,"Porque ela se comportou de forma muito cuidadosa, todos confiavam tanto nesse carpinteiro.",M,"Porque ela se mostrou muito cuidadosa, todos confiam tanto neste carpinteiro.",M
2,机械工,Machinists,4.8,M,base_null,我最近新认识了一名机械工。,Recentemente conheci um mecânico.,M,"Recentemente, conheci um mecânico.",M,Recentemente conheci um novo mecânico.,M,Conheci recentemente um novo mecânico.,M,Conheci recentemente um mecânico.,M,Recentemente conheci um mecânico.,M,Recentemente conheci um mecânico.,M,Conheci recentemente um mecânico.,M
2,机械工,Machinists,4.8,M,exp_m,我最近新认识了一名男机械工。,Recentemente conheci um mecânico.,M,"Recentemente, conheci um novo mecânico.",M,Recentemente conheci um novo mecânico.,M,Conheci recentemente um novo mecânico.,M,Recentemente conheci um novo mecânico homem.,M,"Recentemente, conheci um mecânico.",M,Recentemente conheci um mecânico.,M,Conheci recentemente um mecânico.,M
2,机械工,Machinists,4.8,M,exp_f,我最近新认识了一名女机械工。,Recentemente conheci uma mecânica.,F,"Recentemente, conheci uma operadora de máquinas.",F,Recentemente conheci uma nova mecânica.,F,Conheci recentemente uma nova mecânica.,F,"Recentemente conheci uma nova colega de trabalho, uma mulher mecânica.",F,"Recentemente, conheci uma mecânica.",F,Recentemente conheci uma mecânica.,F,Conheci recentemente uma mecânica.,F
2,机械工,Machinists,4.8,M,ante_smp_m,这名机械工很满意他自己的工作环境。,O mecânico estava muito satisfeito com o seu ambiente de trabalho.,M,Este mecânico está bastante satisfeito com o seu próprio ambiente de trabalho.,M,Este mecânico está muito satisfeito com o seu próprio ambiente de trabalho.,M,Este mecânico está muito satisfeito com o seu próprio ambiente de trabalho.,M,Este operador mecânico ficou muito satisfeito com o seu ambiente de trabalho.,M,Este mecânico está muito satisfeito com o seu próprio ambiente de trabalho.,M,O mecânico está muito satisfeito com o seu ambiente de trabalho.,M,Este mecânico está muito satisfeito com o seu próprio ambiente de trabalho.,M
2,机械工,Machinists,4.8,M,ante_smp_f,这名机械工很满意她自己的工作环境。,A mecânica estava muito satisfeita com o seu ambiente de trabalho.,F,Esta operadora de máquinas está bastante satisfeita com o seu próprio ambiente de trabalho.,F,Esta mecânica está muito satisfeita com o seu próprio ambiente de trabalho.,F,Esta mecânica está muito satisfeita com o seu próprio ambiente de trabalho.,F,Este operador mecânico ficou muito satisfeito com o seu ambiente de trabalho.,M,Esta mecânica está muito satisfeita com o seu próprio ambiente de trabalho.,F,A mecânica está muito satisfeita com o seu ambiente de trabalho.,F,Este mecânico está muito satisfeito com o seu próprio ambiente de trabalho.,M
